Predicted,Text
Fake,?????? ????????? ????? ?????? ????????????  ???????????? ??????? ??????? ?????? ?? ?????? ??? ????? Science ????? ???? ???????????o
Fake,???? ?????? ??????? ???? ???? ???? ??? ??????? ??? ???? ????? ? ???? ????? ???? ??????? ??????????? ????????????????? ?????. ??? ??????? ??????? ?????? ???????? ?????? ???????? ???????. ???? ?????????? ????????? ?????. ?????? ?????? ???????.  ?????? ???? ??? ???? ???? ??? ?????. ??? ?????? ??????????? ??????? ?????? ?????? ?????? ???????? ?????? ??????? ?????? ????????? c+d ??????? ????? ?????????
Fake,?????? ?????????....??????????? ??????????......
Fake,?????
Fake,Corona   Go................Go  corona
original,???? <br>???????? ??????????? ????? ????????????
Fake,????? ??? ?????? ????? ????????? ?????? ??????? ????? ??????????? ????? ??????? ?????????? ??????? ???????? ????????? ??????? ???????? ????? ??
original,??????  ?????????????? ?????  ????  ??????? .
original,???????? ??????? ???? bro ????
Fake,??????? ????????? ????? ???????????? ??????????????????? ????????!
Fake,??? ?????????..!! <br>???????? ??????? ?????? ??????<br>???? ???????????????????<br>??????? ?????? ?????????????????? ???? ??????????????? ????????<br>????? ?????????? ????????????????
original,???? ????????? ??????????? ?????? ?????? ??????? ???????????? ??? ????? ?????? ??<br>??????? ??????????? ???????????? ??? ???? ????????? ???????? ???????????? ????????? ????
original,Last mess dialogue pwoli ??
Fake,Good language lang and comedy presented...
original,Chathiyanmaar aane aviduthe Government.
Fake,??????? ?????? ????????? ???? ??????????? ??????????????? ??????? ?????? ??????? ????????????.
original,"??,, ????? ??????????"
Fake,Thank God
original,5 ??????? ???? ????? ????? ? ???????????...... ??????? ????????  ??????? ????????? ????? ????..... ???????????? ???..... ?????? ??????? ?????????? ????????? ????? ????????? ??????????? ?? ???????? ????????????.... ?????? ?????? ??????? ?????????? ??????????...... ????????? ????????... ?????? ??????? ???.... ????? ?????? ??? ???????????????
Fake,Such a nuisance!!
original,???? ????????????
Fake,Thiruvathira kali alkuttam alla sir?
original,Haha... aashanu aduppilum ..th..raam
Fake,Virus ella
original,??? ? ???????
original,???????????? ??????????? ???? ??????? ?????? ??????? ??????? ?????? ???? ??????? ??????? ?????? ???????? ????????? ????????????? ??????????? 50 ??? ?????? ???????????? ????????? ????????? ????????????? ??????????? ??????? ????????? ?????? ????????????? ????????? ?????? ?????????? ????? ???????? ???????? ???????? ????? ???????????? ????? ????????????
Fake,Ithoru manushya nirmitha virasaanu..   krthyamaya plangingode avarathine use cheythu..
Fake,"We didn&#39;t had summer in kerala this time because we haven&#39;t heard any one died because of sun stroke. so that mean the temperature was cool in Palaghat this year.  Media - so that means if any those who are died from April to till date were all died because of corona, no body had died because of heart attack and other illness. so that means the death what we hear thru media is only season death, Nipah, flood, sun stroke, fever, fact is we are healthy and we don&#39;t have any issues with us, its all panic phobia created by doctors and medias. Our chief minister is like like a RJ &amp; TV presenter to read out the Daily statics of corona. This corona period had taught us lot of lessons. We should learn but nobody will change - at last corona itself will be ashamed about this people and leave the world."
Fake,?????? ??????? ?????. ????? ????? ????????? ????????? ???????? ????? ?????? ??????.????? ????????????? ?????? ???????????? USSR ?? ????????????. ????????? ???? ??????? ????? ???????? ???????????? ???.
original,Kashttam thanne
original,Arkkum thonnunnillee orumathiri pottanmaaraan keralam bharikkunnath
Fake,???  ?????  ???????  ????????  ????  ????????  ?????  ???????  ????  ????  ????  ?????
Fake,Ima ???? illuminaati. ????? ???????????  ????????? ?? ?????
original,Ivark okey athra athyavishamengil onlineil meeting vech paranja pore?? Janangaludey okey jeevan vechano kalikuney? Ith keraliyarudey nenjath keri ninulla thiruvathira kalli aay poi. Enta abhiprayathil ithil pankedutha elaavarkum ethirey case edukanam. Rules elaarkum ore pole ayirikanam!
original,Ivan ithu nale thirichum parayum...
Fake,Oro covide perum paranju janagale patikune Kure kalam ayi sadha vayaral Pani vanal athu Corona marunn kamabaikark kodikal vangichu undakuva janagale patikuva
Fake,???? ???????? ?????? ???????????? ????????? ????? ???????? ?????? ????????????? ?? ?? ?? ??????
original,????? ?????? ?? ??? &quot
Fake,"It is the world war 3.0 and by the time the countries of the world realise it , China will have killed all the people in countries that oppose the Dragon. It&#39;s a Chinese geopolitical invasion of the world."
Fake,Enthuparyan evarekodu ulla gunam kity... Eni ellarum Muslim me ethire ?.... Ah mairan mare pidich thallanm.. Vivaram ilathe kuttam alla pakshe ithu sahikula..
original,??????? ??? ?????? ??????? ...
original,2????? ???? ???????? ???????????? ???? ??????? ??????? ????????? ????????
Fake,?????  ????????????  ??????? ?????  ??????????????  ?????????????...<br> ???????  ?????????? ?????? <br> ????  ?????? ???????.....
Fake,Correct ...China cheitha ...weapon spread ing aanu
Fake,? WHO ????????????????? ?????????? ?????? ??? ?????????????? ?????? ??????? ???????? ????? ??????? ???????? ???????? ?????????? ??? ??????? ????????... ????? ?????????? ????? ????????... ????? ????????? ???? ???????? ?????? ??????? ima ??????????????? ?????? ??????????? ??????? ??????? ???????????? ???? ????????????????? ?????????????...
original,Mask illa aarkum??
Fake,?????  ?????. ???? ?? ??????. ?????????????---!!
original,Kulathrikalkku badilayiAlavilathikal          Keralum Nasippikkan
